L,Metro,Metro Times,Metro N,Metro N Times,C N,C N Times,C NP,C NP Times,C CL,C CL Times,DC CL SP1,DC CL SP1 Times,DC CL SP100,DC CL SP100 Times,DC CL R1,DC CL R1 Times,DC CL R100,DC CL R100 Times
,,s,,s,,s,,s,,s,,s,,s,,s,,s
,,,,,,,,,,,"k=1 T=16",,"k=100 T=16",,"k=1 T=32",,"k=100 T=32",
8,0.00112551595983095,1.75861868723587E-5,2.00807699118741E-5,3.13762029873033E-7,2.80644999584183E-6,4.38507811850286E-8,1.5851909929188E-5,2.47686092643562E-7,,--,,--,,--,,--,,--
16,0.00422943458969239,1.65212288659859E-5,2.32146600872511E-5,9.06822659658247E-8,5.30043998151086E-6,2.07048436777768E-8,1.66001098667039E-5,6.4844179166812E-8,,--,,--,,--,,--,,--
24,0.00920330777979689,1.59779648954807E-5,2.95806898677256E-5,5.13553643536903E-8,9.28963006008417E-6,1.61278299654239E-8,1.87520199338906E-5,3.25555901630044E-8,,--,,--,,--,,--,,--
32,0.015611846659999,1.52459440039053E-5,3.94800700276392E-5,3.85547558863664E-8,1.4822979978635E-5,1.44755663853857E-8,2.28235899587162E-5,2.22886620690588E-8,,--,,--,,--,,--,,--
40,0.0240910653001396,1.50569158125873E-5,5.3466819919413E-5,3.34167624496331E-8,2.19536298653111E-5,1.37210186658194E-8,2.53169300296577E-5,1.5823081268536E-8,,--,,--,,--,,--,,--
48,0.0360015802999726,1.56256858940853E-5,6.91022798622726E-5,2.99923089680002E-8,3.17968100833241E-5,1.38006988208872E-8,3.00061100657331E-5,1.30234852715855E-8,,--,,--,,--,,--,,--
56,0.0497703467899875,1.58706462978277E-5,8.47537800495047E-5,2.70260778219084E-8,4.12754099583253E-5,1.31618016448741E-8,3.73083198792301E-5,1.18967856757749E-8,,--,,--,,--,,--,,--
64,0.0625138241800509,1.52621641064577E-5,1.02505630013184E-4,2.50257885774374E-8,5.35007799917367E-5,1.30617138651701E-8,4.17615500162356E-5,1.01956909219325E-8,2.79281910182908E-4,6.81840601032491E-8,3.56104449825944E-4,8.6939562945787E-8,5.10296330222627E-4,1.24584064995759E-9,3.80734869968728E-4,9.29528491134591E-8,0.00132622053986415,3.23784311490272E-9
128,,--,3.51065329878475E-4,2.14273272630905E-8,2.07425919960951E-4,1.26602734351167E-8,1.17185290114139E-4,7.15242249231807E-9,3.42416779737687E-4,2.08994616539115E-8,3.59797799793887E-4,2.19603149288261E-8,5.10635609968449E-4,3.11667242412383E-10,4.00989910092903E-4,2.44744818171938E-8,0.00129610906992166,7.91082195997106E-10
256,,--,0.00135203662007989,2.06304415905745E-8,8.09192389971577E-4,1.23472959895565E-8,3.76767579923035E-4,5.7490170276342E-9,3.25129800109426E-4,4.96108703780251E-9,3.84204180087545E-4,5.86249054088661E-9,5.14266669834615E-4,7.84708663688072E-11,4.08195040177088E-4,6.2285620144209E-9,0.00131660753014439,2.00898365805724E-10
512,,--,0.00553771135988063,2.11246923823572E-8,0.00320276024969935,1.22175607669806E-8,0.00143927675015875,5.49040508330823E-9,3.24424669888686E-4,1.23758190112566E-9,3.96040090039605E-4,1.51077304855196E-9,6.43740789947333E-4,2.45567623118337E-11,4.40450080126175E-4,1.68018371630163E-9,0.00132524484999012,5.05540790554093E-11
1024,,--,0.0300299782300397,2.86388189602277E-8,0.0140578323599766,1.34065936660543E-8,0.00704809653954871,6.72158864931938E-9,3.67959899932612E-4,3.50913906033146E-10,4.3027200998622E-4,4.10339364992352E-10,8.36764760018559E-4,7.98001060503539E-12,5.4242773988517E-4,5.17299404034777E-10,0.00154749345993623,1.47580476754783E-11
2048,,--,0.122895910449777,2.93006683468287E-8,0.0559238594000228,1.3333287096029E-8,0.0258409776298999,6.16096916911599E-9,4.85907810181379E-4,1.15849449677796E-10,4.95273700033431E-4,1.18082451828344E-10,0.00157050992993463,3.7443874595991E-12,9.09192089785938E-4,2.16768286177144E-10,0.00346730844005651,8.26670751585129E-12
4096,,--,,--,,--,,--,0.00123108919009392,7.33786338623713E-11,8.30203300144058E-4,4.94839727964436E-11,0.00560961107011535,3.34358875162325E-12,0.00114032469001249,6.79686480768021E-11,0.0116698800998885,6.95579057925257E-12
8192,,--,,--,,--,,--,0.00389902326994052,5.80999742439466E-11,0.00279992520012311,4.17221367377506E-11,0.0214274277999823,3.19293555617068E-12,0.00319507198991487,4.76102827476691E-11,0.0448591039700288,6.68452739268971E-12
16384,,--,,--,,--,,--,0.0142375312101416,5.30389368911892E-11,0.0102698512001429,3.82581770425397E-11,0.0842625077199482,3.13902302533195E-12,0.012056866729958,4.49153286589607E-11,0.177003033599991,6.59387683868374E-12
32768,,--,,--,,--,,--,0.0565288664400723,5.26466094330627E-11,0.0453987093500647,4.22808428761221E-11,0.337159631120003,3.14004375711086E-12,0.048843753950097,4.54892906826893E-11,0.708740684600081,6.60066199116485E-12
